Company ID,Contract ID,User Email,User ID,Company Name,Country,Subscription Tier,2020,2021,2022,2023
C082,324e1769-5acc-4e9f-9d77-bfb6a8204b6d,carol46@hotmail.com,47eae859-37c0-41c7-a737-e4473132b986,Shaw Ltd,Japan,Tier 2,0,1,0,1
C016,dd3e1f34-5346-4512-a49f-d4ec1feca19a,mossryan@hotmail.com,ac780c31-931e-4bfc-b8b6-1a2001ddafb7,"Cain, Mills and Wilkinson",United States Virgin Islands,Tier 3,0,0,0,1
C094,d4c5cdbf-242c-4438-9ea3-c4dec7d1a289,christopher37@murphy.org,5b66c689-086f-496b-b3a8-f727e8341932,Davies-Robinson,Bouvet Island (Bouvetoya),Tier 2,1,0,1,1
C054,7d1bae36-b3ee-48e8-a8d8-012e8c8413a6,adamscynthia@hotmail.com,801d1306-4ba1-4de5-b061-e907ee0a8ca9,"Hale, Duke and Young",Western Sahara,Tier 1,0,0,0,1
C018,583d17e7-c6f3-4f53-af29-fb44ebe3d622,alex79@hotmail.com,dd75a424-aab3-45c9-80da-2f5245f27fc7,Jones-Hall,Kenya,Tier 3,1,0,0,1
C069,61236293-bcf2-4ac9-bde1-be9b0231bacb,elizabeth32@hotmail.com,0259c8eb-a131-4c0b-9d2c-6969c8120e0a,Perez LLC,Botswana,Tier 3,0,1,1,0
C071,94d46234-8e82-45f7-9f94-0e1d8e8be34b,mccartymichaela@yahoo.com,c42464c2-0bef-49ae-9db8-f55104942313,Miller LLC,Algeria,Tier 3,1,1,1,0
C024,9efec0df-69e9-4298-afe4-36434e136126,jsweeney@meyer.org,57a7976a-d0aa-41ba-9fb8-59fb2a810b71,"Soto, Smith and Burns",El Salvador,Tier 3,1,0,1,1
C017,d5021d87-493a-441c-b716-5f9af8bc75b1,richardking@yahoo.com,9a5d7c9b-c1b3-40a0-8ebe-d722412f370a,"Davies, Holt and Todd",Kyrgyz Republic,Tier 3,1,1,1,1
C063,e3345259-1da5-4122-9cda-980c9d503ed6,matthew93@hotmail.com,d9682ea0-8d6d-42b5-b6a8-71646ec03306,Phillips PLC,New Caledonia,Tier 1,1,1,1,1
C034,49d294ef-75b6-4818-8b66-fc8d835bc5a1,kgarcia@marshall-wright.com,5401175d-8aac-42a9-95be-02e36b2f0114,Williams-Gray,Azerbaijan,Tier 1,0,0,1,0
C021,7d0e2fef-7e12-4fe4-82d3-d7ad3747dd48,duraneric@hanson.com,11d99900-da0a-4404-a882-3ba797fbb99c,Clark-Walker,Germany,Tier 1,1,1,1,1
C066,7b82cf13-0561-4eed-95a2-5ab7ed4b53c8,smaldonado@morgan-graves.com,0fc3182d-c725-4fdc-8326-7f61065041bf,"Gonzalez, Benton and Thompson",Uruguay,Tier 3,1,1,1,0
C030,0ae5cd24-07c5-4543-ab1e-3c93f135af73,antoniowilkins@estrada.com,a897162d-8e6d-495f-8b3f-abc8f9cc58c2,"Wood, Daniels and Choi",Slovenia,Tier 3,0,1,1,1
C071,94d46234-8e82-45f7-9f94-0e1d8e8be34b,briannamartinez@ray-medina.com,478d6d55-1da1-48f3-a358-7880e592be95,Miller LLC,Algeria,Tier 3,1,1,1,1
C035,69bbdc34-eda5-40fc-b436-bb1d3c44d09a,afreeman@gmail.com,708a0e47-4f35-458e-bd6e-1f6236d50b30,Martin and Sons,Burkina Faso,Tier 3,1,1,1,1
C078,4351727c-f2d0-4c36-b995-c874ba305c98,lisa60@jones.biz,49151414-9b81-4a79-8425-85717d7880f6,Arnold-Vargas,Saint Barthelemy,Tier 2,1,1,1,1
C028,0b233033-6267-4051-b804-17c31cd936a2,knightlisa@york.info,18b25fa1-730c-4a63-92a7-a0294a090280,Cross-Maldonado,Greece,Tier 3,1,1,1,1
C062,987a74bd-df5f-4445-9dc9-d82607f973bd,jennifer28@yahoo.com,8186cf19-f5bf-405c-b30a-8f381a43e3ab,Moreno Ltd,Korea,Tier 1,1,1,1,1
C056,ad4f14ee-f5f4-4801-9e55-2aa47efecb95,joshua02@gmail.com,2d491fe1-8457-4a06-9657-853bc730308a,Gonzales-Esparza,Tuvalu,Tier 2,0,0,1,1
C065,2bbff622-f8db-4f68-9c5d-8887b6c426af,espinozadevon@murphy-hernandez.org,e312acb4-90f3-49dd-80ca-8d1c233904ab,"Davis, Foster and Gomez",French Southern Territories,Tier 2,1,1,1,1
C080,3a683ad9-a1cd-4e1b-b8e5-8bfe569ddf8e,debbie55@jennings.com,79f4d526-2b65-42f4-87ee-0fccd220723c,Turner Group,Aruba,Tier 3,1,1,1,0
C078,d7896fa8-be84-43c9-8577-c227a51a092f,dbrock@graham-reyes.com,d217fef4-ba2c-48a9-93d6-f527d0954835,Arnold-Vargas,Saint Barthelemy,Tier 2,0,0,0,1
C052,5222cfcf-4599-4e75-b6fb-b1cfac63e55e,jonestiffany@hotmail.com,e850678a-3ada-44ff-af05-6910861606ae,"Small, Powers and Wright",Barbados,Tier 1,1,0,1,0
C007,3ebe1050-421f-4baf-b370-09d4c8343c94,ellisalexandra@hotmail.com,8ec18173-dfb1-4498-964a-53386a958561,Powell Inc,Slovenia,Tier 1,0,0,1,0
C036,d8d7ff6c-5bd0-40b8-b04c-aa3d71d09cc2,fgiles@gmail.com,a7f33478-95eb-4be1-bbac-aa12cc4bc8a7,Dudley-Rowland,Slovenia,Tier 2,1,1,1,1
C024,577043c0-b6d6-4a2a-86a0-ce3cc68ddaeb,havila@perez-jenkins.com,4cd6bc97-8711-4591-b2ae-74d4ac59ec85,"Soto, Smith and Burns",El Salvador,Tier 3,1,1,0,1
C010,615fbbcd-2f99-41f8-af29-9a5293bae087,pbates@yahoo.com,e14e9b68-8974-460b-95d0-4e6e0dd77315,Montgomery-Taylor,Montenegro,Tier 1,1,0,0,0
C098,d116d805-94c5-4e74-ac57-a4039c02b9dd,fieldsmelanie@rivera-lowe.com,aa7a32b9-bafa-4f1b-b556-4ccb797b47f1,Day Inc,Niger,Tier 1,0,0,1,0
C031,d9169632-7210-4620-8620-e4a99b0e4617,reidteresa@lynch.net,5ea83a30-14c7-4ec6-884e-9b22500da2b5,Gonzalez-Boyle,Ghana,Tier 1,1,1,1,1
C019,03632f86-613f-4278-992f-826c66728261,brian17@gordon-jones.info,2b0ac3a6-2250-469d-b24f-e2aab72bb608,Tucker LLC,Andorra,Tier 2,0,1,1,1
C030,0ae5cd24-07c5-4543-ab1e-3c93f135af73,kblevins@yahoo.com,cb0f2d38-4e1f-4abf-a1dc-fcf9aa558d41,"Wood, Daniels and Choi",Slovenia,Tier 3,0,1,0,0
C058,79504f1c-b819-4566-b29e-13178c97547f,rbradshaw@hotmail.com,d8f8c486-cafa-4b19-a7d6-f3daefcf6632,Lane-Bennett,Jamaica,Tier 2,0,1,1,1
C008,9300c0aa-eb22-4a76-a1a3-a2714c7efe2a,turnerjack@hotmail.com,c6776868-329a-4ed7-9dd2-249a2d89ef48,"Lang, Dodson and Hicks",Congo,Tier 2,1,1,1,1
C066,7b82cf13-0561-4eed-95a2-5ab7ed4b53c8,ohowell@bradshaw.net,4f5b4717-734a-46fb-b47f-396b96a0fe8c,"Gonzalez, Benton and Thompson",Uruguay,Tier 3,0,0,1,0
C098,d116d805-94c5-4e74-ac57-a4039c02b9dd,carolinedavis@hotmail.com,b84218f7-7c20-49de-94b0-36229edd9cd3,Day Inc,Niger,Tier 1,1,0,0,1
C100,b8e31b8c-a794-467c-b170-b50b71efd8cf,howardshannon@gmail.com,af8651b2-d99e-48b1-bf87-b5aec3d2ee44,Pratt Group,Cocos (Keeling) Islands,Tier 3,1,0,1,1
C035,1bfda3e3-42e3-4677-b861-9efe3f9d009b,dianamills@gmail.com,506eabd7-05eb-4ad9-94c6-8c85d756c324,Martin and Sons,Burkina Faso,Tier 2,0,1,0,1
C028,a0f67fe4-ca44-467a-b26d-fe2ef187a2b9,yunderwood@yahoo.com,525461c3-ac62-469c-a429-5c8b37b3aea1,Cross-Maldonado,Greece,Tier 3,1,1,1,1
C088,a9ee2a57-3398-40e2-8109-bfd2084e8925,zlewis@hill.net,75e03322-8d81-4464-be4f-6c1de4646159,Sanders Group,Niger,Tier 1,0,1,0,0
C044,a938ef58-3a9e-4fa0-940a-50c66105bda9,david30@sims-tucker.com,08c57a6f-780e-479a-85be-13d3058cb498,Gonzales-Stewart,Finland,Tier 2,0,1,0,0
C082,8407d6c4-b4c4-4a38-938e-b17842b6db78,todd27@gmail.com,6558f88f-5ab1-460e-bebc-e52dc34b938c,Shaw Ltd,Japan,Tier 3,1,0,1,1
C042,769e1175-0d37-416c-b6b9-c7c859334777,richard07@schultz.com,2aa2bcdd-bd5d-417d-a700-f1433c4c7c28,Jarvis-Ingram,Suriname,Tier 2,1,0,0,0
C071,94d46234-8e82-45f7-9f94-0e1d8e8be34b,taylorhawkins@yahoo.com,28474f73-3338-42c0-8631-36d3845c72f1,Miller LLC,Algeria,Tier 3,1,1,0,1
C092,80521baa-be5f-4ec2-a54f-5a3ff7884b3d,jeffdavies@hotmail.com,5152f7e1-1825-4945-9643-bb5f521e6622,Roberson and Sons,Panama,Tier 3,0,1,0,0
C091,d1a9bd32-2e50-49ea-abfe-75c572adb9fe,blee@gordon.com,49d330bb-1847-4691-83f0-5dce1bb69ef4,Dudley-Silva,Malaysia,Tier 3,0,1,0,0
C017,10696440-f4c8-44fe-9363-86cbce231fae,cookdustin@moore.net,b297e749-90aa-4120-b04d-10f5c4b44f32,"Davies, Holt and Todd",Kyrgyz Republic,Tier 1,1,1,1,1
C012,70cfdd83-8dc9-4504-bae4-16184bc1cafa,pjones@gmail.com,3e32c73e-92aa-4265-80b7-e3acd4324630,Sanchez-Bates,Mali,Tier 2,1,0,1,1
C064,821852a9-53f6-4cd8-a418-8a21830362c8,vargasrobert@collins.com,d3ab1083-75b5-4220-a39a-83c3b1193253,"Freeman, Hunter and Ellison",Comoros,Tier 1,1,1,0,0
C088,a9ee2a57-3398-40e2-8109-bfd2084e8925,boydmichael@hotmail.com,f1b42848-5421-4923-a886-50be473cee9e,Sanders Group,Niger,Tier 1,1,0,1,0
C037,53a3c7d1-92a7-4450-bb5d-f1c3468c058c,nsantos@yahoo.com,87f81ad8-c533-4d70-9c55-91fbcf2a133a,"Nichols, Jimenez and Wells",Guyana,Tier 2,1,1,0,1
C045,5348a6aa-a7cc-473f-95a0-f36396d4e4dc,james44@ortiz-waters.net,6af3e81f-41f1-4e8a-933a-8670fad215cb,"Grant, Garrett and Jimenez",Turks and Caicos Islands,Tier 3,1,1,1,1
C083,e1513f7f-c6f6-4d1b-83d8-4ab9bfb708ae,williampowell@yahoo.com,5392b801-63b7-4c93-998c-1bdcf86d1d27,"Ramos, Thomas and Jackson",Saint Martin,Tier 3,1,1,1,1
C093,0f71f6c6-dfd5-494d-b35e-161ba160547f,angela62@yahoo.com,0f7174f7-2e4b-4c40-9a0b-cd7eadb08ef8,"Valdez, Hoffman and Hess",Bulgaria,Tier 1,1,0,0,0
C013,75a81885-34a2-40b7-a663-7d6f4e234775,vrhodes@johnson.org,c3821198-3d93-4a58-b841-f078cb4abf4b,"Mcmahon, Cabrera and Perez",Oman,Tier 3,0,0,0,0
C082,ed84e892-2bf9-4a76-ab3b-2a2a9c6e73eb,valeriepage@long.net,8ca6cf21-f014-4658-994f-9b0b663ef875,Shaw Ltd,Japan,Tier 2,1,0,0,0
